pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
203.925,-83.73,-90.0,top,C1, GRM155R71C104KA88D,0402 (1005 Metric),C_0402_1005Metric_no_silk,0.1µF,smt
223.52,-70.104,-90.0,top,C2,GCM32ER71E106KA57K ,1210 (3225 Metric),C_1210_3225Metric,10µF,smt
202.725,-82.255,-90.0,top,C3, GRM155R71C104KA88D,0402 (1005 Metric),C_0402_1005Metric_no_silk,0.1µF,smt
199.314169,-74.8343,90.0,top,C4, GRM155R71C104KA88D,0402 (1005 Metric),C_0402_1005Metric_no_silk,0.1µF,smt
199.0852,-79.601,-90.0,top,C5,GRM1555C1E103GE01D ,0402 (1005 Metric),C_0402_1005Metric_no_silk,0.01µF,smt
226.5425,-87.122,0.0,top,D1,150060RS75000,0603 (1608 Metric),LED_0603_1608Metric,LED,smt
208.28,-65.024,180.0,top,J1,61300211121,Through Hole,61300211121,Conn_01x02_Pin,tht
218.186,-70.612,-90.0,top,J2,61300211121,Through Hole,61300211121,Conn_01x02_Pin,tht
200.66,-65.024,0.0,top,J3,,,61300211121,Conn_01x02,tht
232.4681,-69.9119,-90.0,top,J4,S6B-XH-A-1,Through Hole,CONN_S6B-XH-A-1_JST,Conn_01x06_Socket,tht
201.93,-87.376,0.0,top,J5,,,CONN06_6130_15P24X2P54_WRE,Conn_01x06,tht
223.774,-84.582,90.0,top,JP1,,,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,SolderJumper_2_Bridged,tht
196.334,-76.708,0.0,top,R1,PTB0143-2010BPA103,Through Hole,PTB01432010BPB103,PTB0143-2010BPA103,tht
209.4992,-77.0147,-90.0,top,R2,RNCF0805DTE1K00,0805 (2012 Metric),R_0805_2012Metric,1K,smt
215.9381,-82.8802,180.0,top,R3,RNCF0805DTE1K00,0805 (2012 Metric),R_0805_2012Metric,1K,smt
208.1276,-84.074,0.0,top,R4,RNCF0805DTE1K00,0805 (2012 Metric),R_0805_2012Metric,1K,smt
221.234,-85.4945,90.0,top,R5,RNCF0805DTE1K00,0805 (2012 Metric),R_0805_2012Metric,1K,smt
204.47,-68.4295,90.0,top,R6,RNCF0805DTE10K0,0805 (2012 Metric),R_0805_2012Metric,10K,smt
213.614,-68.7305,90.0,top,R7,RNCF0805DTE10K0,0805 (2012 Metric),R_0805_2012Metric,10K,smt
231.089,-87.122,180.0,top,R8,RNCF0805DTE10K0,0805 (2012 Metric),R_0805_2012Metric,10K,smt
65.405,-80.5415,90.0,top,R9,RNCF0805DTE10K0,0805 (2012 Metric),R_0805_2012Metric,10K,smt
203.04117,-76.356799,-90.0,top,U1,ADS112C04IPWR,TSSOP (16),SOP65P640X120-16N,ADS112C04IPWR,smt
